Name,Review,Stars,Translated Review,Language,Sentiment
강동휘,손님이  아주 많아요~~맛있습니다!!,4,Có rất nhiều khách hàng~~ Ngon quá!!,ko,Positive
Phu Huy,Chưa chuẩn bị dồ xong nhưng app của grab dã mở,4,Chưa chuẩn bị dồ xong nhưng app của grab dã mở,vi,Positive
Lasse Knudsen,Great when you need a bit of home in your travels.,5,Tuyệt vời khi bạn cần một chút quê hương trong chuyến du lịch của mình.,en,Positive
劉小鳳,有空調,5,Máy lạnh,zh-CN,Positive
TIẾN CỬ NGUYỄN (QHSE),Good Mac in Hanoi,4,Mac tốt ở Hà Nội,en,Positive
PhuGiaThangLong Jsc,Phục vụ tốt,3,Phục vụ tốt,vi,Neutral
Daniel Kobiela,Service was fine. If you really want Maccas you should come here.,5,Dịch vụ vẫn ổn. Nếu bạn thực sự muốn Maccas bạn nên đến đây.,en,Positive
Benjamin Josi,Did not meet my expectations to a normal mcdonalds. the bread was chewy and the burger was messy. Service was fast and good but the tables were sticky and not cleaned well. Not a proper mcdonalds burger,2,Không đáp ứng được mong đợi của tôi đối với một mcdonald bình thường. bánh mì dai và bánh mì kẹp thịt thì lộn xộn. Dịch vụ nhanh và tốt nhưng bàn bị dính và không được làm sạch tốt. Không phải là một chiếc burger mcdonalds thích hợp,en,Negative
Ngo Q. Anh,Pretty good,4,Khá tốt,en,Positive
Linmao Teng,Some menu is different.cos there's some rice!!,3,Một số thực đơn khác nhau. Vì có một ít cơm!!,en,Neutral
Sim Bac,Un mc do parmi tant d autre,3,Một McDonald's trong số nhiều người khác,fr,Neutral
ĐỖ THỊ THU HIỀN,Vị trí đẹp số 1 Hà Nội,5,Vị trí đẹp số 1 Hà Nội,vi,Positive
Robert Wahl,Für alle McDonald's Fans ist das sehr gut,5,Điều này rất tốt cho tất cả người hâm mộ McDonald's,de,Positive
Quốc Tuấn,"Nằm ngay trung tâm thành phố, sát hồ Hoàn Kiếm. Nhân viên phục vụ tốt",5,"Nằm ngay trung tâm thành phố, sát hồ Hoàn Kiếm. Nhân viên phục vụ tốt",vi,Positive
Cuc Le,Tốt,5,Tốt,vi,Positive
Thu Huong Vu,"Đa dạng các món. Ăn được. Ko ngon haha đương nhiên vì unhealthy food mà. Dịch vụ tốt. Phục vụ nhanh, chuyên nghiệp!! 👏 Vị trí đẹp tuyệt 👍 so với các cửa hàng ăn nhanh, McDonald giá cao nhưng nhìn chung cũng đáng :)",4,"Đa dạng các món. Ăn được. Ko ngon haha đương nhiên vì unhealthy food mà. Dịch vụ tốt. Phục vụ nhanh, chuyên nghiệp!! 👏 Vị trí đẹp tuyệt 👍 so với các cửa hàng ăn nhanh, McDonald giá cao nhưng nhìn chung cũng đáng :)",vi,Positive
Anh TamMao,Hừm,5,Hừm,vi,Positive
Sơn Lê Hùng,Cửa hàng ăn nhanh dễ tìm,4,Cửa hàng ăn nhanh dễ tìm,vi,Positive
에루,으 진심 본사에서 관리좀 나와야 할듯 ㅠㅠ;; 위생상태가 별로인데 정말 맥도날드가 생각나면 갈 만 합니다.,3,"Ugh, nghiêm túc mà nói, tôi nghĩ chúng ta cần có sự quản lý từ trụ sở chính ㅠㅠ;; Điều kiện vệ sinh không tốt nhưng nếu bạn thực sự muốn đến McDonald's thì rất đáng để đi.",ko,Neutral
Daniel Murphy,"always a line but quick service, alot of better food in hanoi but for a mc donalds the service and quality is surprisingly good",4,"luôn luôn là một hàng nhưng dịch vụ nhanh chóng, rất nhiều món ăn ngon hơn ở hà nội nhưng đối với một mc donalds thì dịch vụ và chất lượng tốt đến mức đáng ngạc nhiên",en,Positive
Lê Mạnh Hùng,"Ko chuyên nghiệp, ko hướng dân lấy đồ lên khách phải xếp hàng 2 lần",1,"Ko chuyên nghiệp, không hướng dân lấy đồ lên khách phải xếp hàng 2 lần",vi,Negative
P. Mei,Đồ ăn so với giá thì khá ổn. Chỉ có điều hơi đông nên đợi lâu.,4,Đồ ăn so với giá thì khá ổn. Chỉ có điều hơi đông nên đợi lâu.,vi,Positive
Duc Chung,attitude,1,thái độ,en,Negative
phoenix gaming,great,5,Tuyệt,en,Positive
Jay Rhee,Fish버거를 주문했는데 빵속에 생선살 패튀만 있고 야채는 전혀 없음..그저 그랬음,2,"Tôi gọi món burger cá, nhưng trong bánh mì chỉ có chả cá và không có rau chút nào.",ko,Negative
Giang Tiền Tỷ,"Đến ăn bánh Mì miễn phí một lần theo chương trình giảm giá, Và thấy McDonald's này cũng uy tín, có nhiều trụ sở, ở Hoàng Đạo Thúy cũng có, Lương cũng cao, nên muốn đến đây ứng tuyển.Thấy cũng hay có nhiều vị trí tuyển dụng, và uy tín, nên thích đến.Đồ ăn ngon. Quên là ko check in",4,"Đến ăn bánh Mì miễn phí một lần theo chương trình giảm giá, Và thấy McDonald's này cũng uy tín, có nhiều trụ sở, ở Hoàng Đạo Thúy cũng có, Lương cũng cao, nên muốn đến đây ứng tuyển.Thấy cũng hay có nhiều vị trí tuyển dụng, và uy tín, nên thích đến.Đồ ăn ngon. Quên là ko check in",vi,Positive
Đăng Hưng Nguyễn,"Vị trí đẹp, phù hợp giới trẻ",3,"Vị trí đẹp, phù hợp giới trẻ",vi,Neutral
Tiến Đức đỗ,Ok,5,Được rồi,en,Positive
Noah Josi,The bread wasn't the same as other McDonalds and the food was not hot when we received it. But the service was very fast.,3,Bánh mì không giống như các cửa hàng McDonalds khác và thức ăn không nóng khi chúng tôi nhận được. Nhưng dịch vụ rất nhanh.,en,Neutral
Le Quynh,Food is easy to eat and suitable for everyone,5,Món ăn rất dễ ăn và phù hợp với mọi người,en,Positive
Quyen Duy,"Tốt, nhưng không có chỗ để xe hơi.
Gửi xe khá xa, được cái đi bộ có nhiều bóng cây.",4,"Tốt, nhưng không có chỗ để xe hơi.
Gửi xe khá xa, được cái đi bộ có nhiều bóng cây.",vi,Positive
Do Hoang Ngoc Anh,hơi đông,5,hơi đông,vi,Positive
Minh Nguyen Ba,Good location,5,Vị trí tốt,en,Positive
Hiếu Đỗ,"Bánh ngon, view đẹp, nên nhắc nhở nhân viên tạp vụ",5,"Bánh ngon, view đẹp, nên nhắc nhở nhân viên tạp vụ",vi,Positive
Trung Mai Xuan,~ nhìn view khá đẹp mà chưa có dịp ăn nên chưa biết chất lượng ra sao,3,~ nhìn view khá đẹp mà chưa có dịp ăn nên chưa biết chất lượng ra sao,vi,Neutral
Khanh Nguyen,Khá tốt,5,Khá tốt,vi,Positive
Phuc Nguyen,Đồ ăn ngon và làm rất nhanh,5,Đồ ăn ngon và làm rất nhanh,vi,Positive
Han Lu,Cho 1s ko cần lý do,1,Cho 1s ko cần lý do,vi,Negative
Trần Mỹ Hạnh,"Hôm nay 26 tháng 4 2019, em gọi phần ăn gồm 1 miếng gà rán 1 khoai tây chiên và 1 coke vừa và lúc sau nhà hàng ship cho e 1 miếng gà rán và cơm ??? Tốn tiền, mọi ng đừng mua ở đây",1,"Hôm nay 26 tháng 4 2019, em gọi phần ăn gồm 1 miếng gà rán 1 khoai tây chiên và 1 coke vừa và lúc sau nhà hàng ship cho e 1 miếng gà rán và cơm ??? Tốn tiền, mọi ng đừng mua ở đây",vi,Negative
橋本俊英,ハノイでやっと見つけたマック。アイスコーヒーが日本人好みでとても美味しかったですよ。,4,Cuối cùng tôi đã tìm thấy Mac ở Hà Nội. Cà phê đá rất ngon đúng như sở thích của người Nhật.,ja,Positive
KING PLACE BESPOKE INTERIOR,Ok,5,Được rồi,en,Positive
Andre Eikenboom,Zoals een Mac Donalds hoort te zijn... wel ruim 2 tot 3 keer goedkoper dan in Nederland,5,Giống như một chiếc Mac Donalds nên... rẻ hơn ở Hà Lan từ 2 đến 3 lần,nl,Positive
Mohamed Issa,"It was pretty nice. A pitty that their menu only has limited burger choices, I would have killed for w big tasty. In general, though, food was good and service was good. The mayo is sweet, though. I thought that was weird.",5,"Nó khá đẹp. Thật đáng tiếc là thực đơn của họ chỉ có những lựa chọn hạn chế về bánh burger, tôi sẽ giết chết vì món ngon lớn. Tuy nhiên, nhìn chung đồ ăn vẫn ngon và dịch vụ cũng tốt. Tuy nhiên, mayo rất ngọt. Tôi tưởng nó lạ lắm chứ.",en,Positive
TU NGUYEN,Đồ ăn ngon,4,Đồ ăn ngon,vi,Positive
Dinh Long Vu,Good with fast food,4,Tốt với thức ăn nhanh,en,Positive
Thu Nguyen,Children's favourite place anytime we have weekend walk around Hoan Kiem lake,5,Địa điểm yêu thích của trẻ em bất cứ khi nào chúng tôi đi dạo cuối tuần quanh hồ Hoàn Kiếm,en,Positive
Dung Nguyễn van,Tốt,5,Tốt,vi,Positive
Tuấn Anh Nguyễn,Ko đăt đơn cho khách. Nhân viên khinh người,1,Ko đăt đơn cho khách. Nhân viên khinh người,vi,Negative
ha ta thi thu,It is not luxurious,1,Nó không sang trọng,en,Negative
Tuan Duong,"Vào ngày lễ và cuối tuần dịp phố đi bộ, quán thường đông quá mức trong khi quầy thanh toán nhỏ nên phải xếp hàng hơi lâu.",3,"Vào ngày lễ và cuối tuần dịp phố đi bộ, quán thường đông quá mức trong khi quầy thanh toán nhỏ nên phải xếp hàng hơi lâu.",vi,Neutral
Stephen Grey,"Well, it s clean and fresh food, and popular amongst the vietnamese ppl",3,"Vâng, đó là thực phẩm sạch và tươi, được người Việt Nam ưa chuộng.",en,Neutral
Tuan Trinh,"Đồ ăn ngon, khách đông nên phải xếp hàng chờ mua rất lâu, chỗ ngồi hơi chật chội.",4,"Đồ ăn ngon, khách đông nên phải xếp hàng chờ mua rất lâu, chỗ ngồi hơi chật chội.",vi,Positive
Le Nuke,Im lovin' it,5,tôi yêu nó,en,Positive
Johnny Hsu,"This is the only McDonald’s in Hanoi. The food taste is as same as everywhere. And it’s located in the best spot for international tourists. Just next to the Hoan Kiếm lake, and very close to the Sofitel.",4,Đây là cửa hàng McDonald’s duy nhất ở Hà Nội. Hương vị thức ăn cũng giống như mọi nơi. Và nó nằm ở vị trí tốt nhất cho khách du lịch quốc tế. Ngay cạnh hồ Hoàn Kiếm và rất gần khách sạn Sofitel.,en,Positive
Thúy Quỳnh Đỗ,Thèm quá uitruiui,5,Thèm quá uitruiui,vi,Positive
Monisoma Ok,Good for kids and family after city tour and a long walk.,3,Tốt cho trẻ em và gia đình sau chuyến tham quan thành phố và đi bộ dài.,en,Neutral
Long Pham,"So cool places, my kid love it, especially the happy menu with the toys",5,"Địa điểm hay quá, bé nhà mình rất thích, đặc biệt là menu vui vẻ có đồ chơi",en,Positive
Quyết UCE,Ngon đắt,5,Ngon đắt,vi,Positive
Hieu Nguyen Chi,Mình ăn nhà hàng này giống như ở bên pháp đấy ạ,5,Mình ăn nhà hàng này giống như ở bên pháp đấy ạ,vi,Positive
Slobodan Pajic,Good food but very crowded. It would be nice that Hanoi has one more McDonald's,5,Đồ ăn ngon nhưng rất đông. Thật tuyệt khi Hà Nội có thêm một McDonald's,en,Positive
Đặng Văn Nam,Ok,4,Được rồi,en,Positive
Gillian Van Biljon,Yum lol,4,"ngon quá, cười lớn",en,Positive
hải đào hoàng,Rất ngon.,5,Rất ngon.,vi,Positive
Tuyết Nhu,Ngon. Đáng tiền,4,Ngon. Đáng tiền,vi,Positive
Huyền Nguyễn,"Nằm trên con đường đắt đỏ nên quán có giá khá cao, và nhân viên phục vụ ko đc tốt lắm",3,"Nằm trên con đường đắt đỏ nên quán có giá khá cao, và nhân viên phục vụ ko đc tốt lắm",vi,Neutral
Huyen Le,"Ngon, nhiều đồ khuyến mại đặc biệt cho trẻ e..đôi khi hơi bất tiện vì đông quá",4,"Ngon, nhiều đồ khuyến mại đặc biệt cho trẻ em..đôi khi hơi bất tiện vì đông quá",vi,Positive
Nguyen Thanh,Thức ăn cũng ổn nhưng phục vụ quá lâu.  Đã ăn xong thức ăn nhưng nước uống vẫn chưa có.  Một lần đến và không quay lại,2,Thức ăn cũng ổn nhưng phục vụ quá lâu.  Đã ăn xong thức ăn nhưng nước uống vẫn chưa có.  Một lần đến và không quay lại,vi,Negative
Hai Pham,ăn nhanh và kem oke! cafe thì ko oke lắm,4,ăn nhanh và kem oke! cafe thì ko oke lắm,vi,Positive
Huynh Doctor,Chưa ăn nhưng thấy cũng ko đẹp,3,Chưa ăn nhưng thấy cũng ko đẹp,vi,Neutral
Center Dẽo CT,"Giá cả ok.đồ ăn bt.phục vụ 5*,chỗ ngồi sạch sẽ",4,"Giá cả ok.đồ ăn bt.phục vụ 5*,chỗ ngồi sạch sẽ",vi,Positive
Дима Креченков,"Отличный Макдональдс. Собственно еда качественная, заказ приготовили быстро, по деньгам не очень дорого. Что ещё требуется от макдональдса? Был приятно удивлён, что соусы бесплатные. После платных туалетов в Европе, бесплатные соусы в Азии - просто подарок.",5,"McDonald tuyệt vời. Bản thân đồ ăn có chất lượng cao, đơn hàng được chuẩn bị nhanh chóng và giá thành không đắt lắm. Bạn còn cần gì hơn nữa từ McDonald's? Tôi rất ngạc nhiên khi nước sốt được cung cấp miễn phí. Sau nhà vệ sinh trả phí ở châu Âu, nước sốt miễn phí ở châu Á chỉ là một món quà.",ru,Positive
Tran Long,Ngón ăn ngon. Giá cũng đc. Nhg đông quá nên hay quá tải chỗ ngồi :-s hy vọng sắp có cơ sở mới sẽ giảm tải đc ở đây,4,Ngón ăn ngon. Giá cũng đc. Nhưng đông quá nên hay quá tải chỗ ngồi :-s hy vọng sắp có cơ sở mới sẽ giảm tải đc ở đây,vi,Positive
Tuan Linh DANG,ngon nhưng hơi đắt,4,ngon nhưng hơi đắt,vi,Positive
Roman K,"Tried McDonald's in many locations around the world , wasn't that huge of a fan of the ones in Vietnam",3,"Đã thử McDonald's ở nhiều địa điểm trên khắp thế giới, nhưng không phải là fan cuồng của những quán ở Việt Nam",en,Neutral
Thành Phí,"Get out of Vietnam, please the white dudes.",1,"Hãy ra khỏi Việt Nam, làm ơn đi những người da trắng.",en,Negative
솔진,Simply the best fastfood in Hanoi.,5,Đơn giản là đồ ăn nhanh tốt nhất ở Hà Nội.,en,Positive
tan nguyen,Mong các bạn có thể tôn trọng việc dùng đũa,1,Mong các bạn có thể tôn trọng việc dùng đũa,vi,Negative
Mạnh Trung Nguyễn,Đồ ăn bt,3,Đồ ăn bt,vi,Neutral
Arunothai Singtakaew,Well,4,Tốt,en,Positive
Huy Trong,1st McDonald's in Hanoi.,4,McDonald's đầu tiên ở Hà Nội.,en,Positive
이승현,사람이 많은 편,4,Có rất nhiều người,ko,Positive
Stephen Grey,"Service is good n fast. Outsitting sitting is suicidal as Scooters speed around the corner.
Coffee tastes like sh***",3,"Dịch vụ tốt và nhanh chóng. Ngồi bên ngoài là tự sát khi xe tay ga phóng nhanh qua góc phố.
Cà phê có vị như ***",en,Neutral
Ngọc Ánh Hoàng,"Mình thường cho tụi nhỏ qua đây vì chúng rất thích rất thích những phần quà trong suất happy meal ở đây. Các món ăn ở đây mình thấy khá ổn, kem ở đây ngon hơn của lotte hay KFC.",5,"Mình thường cho tụi nhỏ qua đây vì chúng rất thích rất thích những phần quà trong suất happy meal ở đây. Các món ăn ở đây mình thấy khá ổn, kem ở đây ngon hơn của lotte hay KFC.",vi,Positive
Duy Nguyễn,Ok,5,Được rồi,en,Positive
Cao Quốc Tuấn,Quán nằm ở trung tâm và ở ngã tư nên rất thuận tiện. Món ăn đa dạng và ngon. Nhân viên nhiệt tình và thân thiện.,5,Quán nằm ở trung tâm và ở ngã tư nên rất thuận tiện. Món ăn đa dạng và ngon. Nhân viên nhiệt tình và thân thiện.,vi,Positive
Zachary Hubbell,"The combination of drunk American frat boys, terribly slow and disorganized service and the filthy dining room, made for a terrible experience.

Yeah, I know. Don’t come to Vietnam and eat McDonalds. That advice certainly rings true here. Avoid!",1,"Sự kết hợp giữa những chàng trai người Mỹ say xỉn, dịch vụ cực kỳ chậm chạp và vô tổ chức cùng phòng ăn bẩn thỉu đã tạo nên một trải nghiệm khủng khiếp.

Vâng, tôi biết. Đừng đến Việt Nam và ăn McDonalds. Lời khuyên đó chắc chắn đúng ở đây. Tránh xa!",en,Negative
Duc Phan Huu,Good place for hanging out,4,Nơi tốt để đi chơi,en,Positive
Дмитрий Потемкин,"Нормуль, макдак как Макдак,  только туалета нет",5,"Bình thường, McDuck cũng như McDuck, chỉ có điều không có nhà vệ sinh",ru,Positive
lan ngo,Quá chán.,2,Quá chán.,vi,Negative
H Shimizu,ハノイに一軒だけあるマクドナルドです。土日は、いつも混雑しています。,4,Chỉ có một McDonald's ở Hà Nội. Nó luôn đông đúc vào thứ bảy và chủ nhật.,ja,Positive
colorful music -,Tạm ổn,3,Tạm ổn,vi,Neutral
Stephan Blechschmidt,"Danke Mcdonald's. Endlich mal was anderes als Reis und Nudeln.
Geht doch nichts über 20 Chicken McNuggets.",5,"Cảm ơn McDonald's. Cuối cùng là thứ gì đó khác ngoài cơm và mì.
Không gì có thể sánh bằng 20 miếng gà McNugget.",de,Positive
Huy Nam Lê,Giải trí cuối tuần,5,Giải trí cuối tuần,vi,Positive
Paul Park,A placd to rest one piece of my soul in Hanoi when miss city life.,5,Nơi an nghỉ một phần tâm hồn tôi ở Hà Nội khi nhớ cuộc sống thành phố.,en,Positive
M4rsHa D,"Bangunan terdiri dari 2 lantai, terletak dekat Hoan Kiem Lake.",5,"Tòa nhà gồm 2 tầng, nằm gần hồ Hoàn Kiếm.",id,Positive
Hannah Baker,"This is the only location in Hanoi and isn’t in a convenient place with minimal seating, but if you want McDonald’s, you want McDs haha. The staff is nice and puts in an effort to serve you properly.",4,"Đây là địa điểm duy nhất ở Hà Nội và không phải là một nơi thuận tiện với số lượng chỗ ngồi tối thiểu, nhưng nếu bạn muốn McDonald's, bạn sẽ muốn McDs haha. Các nhân viên rất tốt và nỗ lực để phục vụ bạn đúng cách.",en,Positive
Hoang Can,"Đồ ăn khá, giá cả phải chăng",4,"Đồ ăn khá, giá cả phải chăng",vi,Positive
Hùng Đặng Việt,"Đã ăn đâu,  nhưng mà 5 sao",5,"Đã ăn đâu,  nhưng mà 5 sao",vi,Positive
G. W.,SameSame. Nice Stuff. Ask for more tissue. Thanks!,4,Giống nhau. Dụng cụ tốt. Yêu cầu thêm khăn giấy. Cảm ơn!,en,Positive
Mười Trần Đình,Ngon hơn khi dùng sốt phô mai,5,Ngon hơn khi dùng sốt phô mai,vi,Positive
김가은,사람많고 매장에서 물걸레냄새가 많이 났어요.. 한국 맥날이랑 다른점이 꽤 있어서 베트남 맥도날드가 궁금하면 한번쯤 가볼만함,3,"Có rất nhiều người và cửa hàng có mùi như giẻ ướt... Nó khá khác biệt so với McDonald's Hàn Quốc, vì vậy nếu bạn tò mò về McDonald's Việt Nam thì nên ghé thăm ít nhất một lần.",ko,Neutral
Huy Nguyen,Nice view,4,Cảnh đẹp,en,Positive
Bach Tran,Average,3,Trung bình,en,Neutral
Tuan Anh Nguyen,Not relative but the burger in pic was made by me,4,Không liên quan nhưng cái burger trong hình là do tôi làm,en,Positive
Colin Almeida,You must try the crispy spicy chicken. Clean and comfortable store with a McCafe section.,3,Bạn phải thử món gà cay giòn. Cửa hàng sạch sẽ và thoải mái với khu vực McCafe.,en,Neutral
Sol Petines,Had to go up 2nd floor to find a seat.  We just stayed sidewalk seats as I did not like to go up the stairs,3,Phải lên tầng 2 để tìm chỗ ngồi. Chúng tôi chỉ ngồi ở ghế vỉa hè vì tôi không thích đi lên cầu thang,en,Neutral
federico giovanninetti,"cheap and good quality, clean place",5,"giá rẻ và chất lượng tốt, nơi sạch sẽ",en,Positive
Cuu Nong,Nhân viên tỏ thái độ không tốt với ae giao hàng,1,Nhân viên tỏ thái độ không tốt với ae giao hàng,vi,Negative
Shinegi Vietnam,"Im not big fan of burger or sandwich bcz we have many delicious vietnamese food ( sorry.... And as the matter of fact, I dont like to eat junk food.) But i'd like to come here to eat icre cream. I like the restaurant space too. It's very colourful and well-decorated walls. They also consider the cleaness too. I notice that bcz the staff often sweep thr floor and clean the tables. After 10pm, they'll close 2nd floor to clean. However, like other fast food restaurants, the smell from kitchen is definitely on your cloth.
Once time when I came here with my French friend, he tried Burger and said it wasnt as good as it was in France.  Of course, right.",5,"Tôi không phải là fan cuồng của burger hay sandwich vì chúng tôi có nhiều món ăn Việt Nam ngon (xin lỗi.... Và thực tế là tôi không thích ăn đồ ăn vặt.) Nhưng tôi muốn đến đây để ăn kem icre. Tôi cũng thích không gian của nhà hàng. Đó là những bức tường rất đầy màu sắc và được trang trí đẹp mắt. Họ cũng xem xét sự sạch sẽ. Mình để ý thấy nhân viên thường xuyên quét sàn và lau bàn. Sau 22h họ sẽ đóng cửa tầng 2 để dọn dẹp. Tuy nhiên, giống như các nhà hàng thức ăn nhanh khác, mùi hôi từ nhà bếp chắc chắn bám trên vải của bạn.
Có lần tôi đến đây cùng với người bạn Pháp, anh ấy đã thử Burger và nói rằng nó không ngon bằng ở Pháp. Tất nhiên là đúng.",en,Positive
Ced Nguyen,Good taste,5,hương vị tốt,en,Positive
TRAN VAN HUNG,Không gian hẹp,3,Không gian hẹp,vi,Neutral
Sara McQuaid,Always crowded but they never mess up.our orders and the food comes out super hot. Just as good as Western McDonald's and they have garlic chili sauce in a despenser that's really good.,5,Luôn đông đúc nhưng họ không bao giờ gây rối. Đơn đặt hàng của chúng tôi và thức ăn trở nên cực kỳ nóng hổi. Cũng ngon như McDonald's của phương Tây và họ có nước sốt ớt tỏi trong hộp đựng thực sự rất ngon.,en,Positive
Trang Vu,Mê nhất món kem cone huyền thoại 10k,5,Mê nhất món kem cone huyền thoại 10k,vi,Positive
Quý Trần Bá,"Phục vụ nhanh, giá cả ổn",4,"Phục vụ nhanh, giá cả ổn",vi,Positive
Hiển Dương,"Burger, gà, khoai khá là Bình thường :)) còn kem thì khá là ngon, vị dịu nhẹ, không quá ngọt như các chỗ khác.",4,"Burger, gà, khoai khá là Bình thường :)) còn kem thì khá là ngon, vị dịu nhẹ, không quá ngọt như các chỗ khác.",vi,Positive
Tuan Viet Tran,"- Food's okay, but not quite the same taste as in other countries.
- Location is perfect, the restaurant looks onto the Hoan Kiem lake and the walking streets (weekend only).
- The queues look long but you actually get the food fast enough.
- If you are in group, send someone to sit at a table first to reserve it.",4,"- Đồ ăn thì ổn, nhưng hương vị không giống như ở các nước khác.
- Vị trí hoàn hảo, nhà hàng nhìn ra hồ Hoàn Kiếm và phố đi bộ (chỉ cuối tuần).
- Hàng đợi trông có vẻ dài nhưng thực tế bạn nhận được đồ ăn đủ nhanh.
- Nếu đi đoàn, hãy cử người ngồi vào bàn trước để đặt chỗ.",en,Positive
Zhanara Burakhan,Very delicious MC donald's spicy chicken hamburger meal. I like that they have different sauses to choose.,5,Bữa ăn hamburger gà cay của MCdonald cực ngon. Tôi thích rằng họ có nhiều loại nước sốt khác nhau để lựa chọn.,en,Positive
Naomi Kipfer,the only mcdonalds we could find 😂,5,mcdonald duy nhất chúng ta có thể tìm thấy 😂,en,Positive
Kent Hoover,Most seating is upstairs. Very limited bathroom for the size of restaurant,4,Hầu hết chỗ ngồi là trên lầu. Phòng tắm rất hạn chế đối với quy mô của nhà hàng,en,Positive
Lê Minh Tâm,Tốt,4,Tốt,vi,Positive
Gene Splitter,"It's the only one, so if you need your fix, it's reliable!",4,Đây là cách duy nhất nên nếu bạn cần sửa chữa thì nó rất đáng tin cậy!,en,Positive
Thục Linh Đặng,"I don't want to say to much about it, I used to work here :))))",4,"Mình không muốn nói nhiều về chuyện này, mình từng làm ở đây :))))",en,Positive
ʚ๖ۣۜHĭ๖ۣۜHĭღ ๖ۣۜCɦαηηεlɞ,"Đồ ăn rất ngon ! Không gian vào buổi tối rất đẹp, đợi đồ ăn chưa đến 10 phút, nhân viên nhiệt tình chu đáo",5,"Đồ ăn rất ngon ! Không gian vào buổi tối rất đẹp, đợi đồ ăn chưa đến 10 phút, nhân viên nhiệt tình chu đáo",vi,Positive
Mathis,Es gibt keine Veggieburger 😕,4,Không có bánh mì kẹp thịt chay 😕,de,Positive
Pham Oanh,"Đồ ăn ngon, giá hợp lý tuy nhiên nếu đi vào cuối tuần quán đông và chen chũ",4,"Đồ ăn ngon, giá hợp lý tuy nhiên nếu đi vào cuối tuần quán đông và chen chũ",vi,Positive
Bui Trung,Quán có địa thế đẹp.  Trung tâm. Nhân viên phục vụ okie.,4,Quán có địa thế đẹp.  Trung tâm. Nhân viên phục vụ okie.,vi,Positive
đạt trần tiến,The first and that enough to interest many tourists,4,Điều đầu tiên và bấy nhiêu đó đủ khiến nhiều du khách quan tâm,en,Positive
Cam Minh Nguyen,It is ok,3,Không sao,en,Neutral
Kelvin Steval,Ngon,5,Ngon,vi,Positive
Minh Nguyễn Thu,"Gia đình tôi đã ăn ở đây một vài lần, đồ ăn ngon trẻ con rất thích, đặc biệt có món ken ốc quế chỉ có 10.000 VNĐ",4,"Gia đình tôi đã ăn ở đây một vài lần, đồ ăn ngon trẻ con rất thích, đặc biệt có món ken ốc quế chỉ có 10.000 VNĐ",vi,Positive
Loan Ta,Khá vừa miệng,4,Khá vừa miệng,vi,Positive
vinsin “vinsin” films,Food was good service was okay,4,"Thức ăn ngon, dịch vụ ổn",en,Positive
Huyền Đỗ,Ngon,5,Ngon,vi,Positive
Bui Trang,"Ngon, vị trí đẹp",5,"Ngon, vị trí đẹp",vi,Positive
I,여행와서굳이?,3,Tại sao lại đi du lịch?,ko,Neutral
vavi,נחמד,4,Đẹp,iw,Positive
Quân Trần,Đồ ăn nhanh rất ngon!!!,5,Đồ ăn nhanh rất ngon!!!,vi,Positive
Linh Đoàn,"Đồ ăn tạm ổn, hơi mặn và giá cũng hơi chát",4,"Đồ ăn tạm ổn, hơi mặn và giá cũng hơi chát",vi,Positive
Duy Tiến Nguyễn,Sao cái gì sáng Việt Nam cũng bị biến tướng theo hướng xấu nhỉ? Nhìn phần Big Mac bán ở VN mà mình thấy xấu hổ,2,Sao cái gì sáng Việt Nam cũng bị biến tướng theo hướng xấu nhỉ? Nhìn phần Big Mac bán ở VN mà mình thấy xấu hổ,vi,Negative
Tuan Anh,Ngồi ăn ngắm bờ hồ ^^,5,Ngồi ăn ngắm bờ hồ ^^,vi,Positive
Trương Hoài Nam,"Địa điểm thuận lợi cho đi bộ và khách du lịch vì ngay sát hồ Gươm, không có điểm gửi xe thuận tiện. Phục vụ chậm và khi đông khách thì vệ sinh rất bẩn.",4,"Địa điểm thuận lợi cho đi bộ và khách du lịch vì ngay sát hồ Gươm, không có điểm gửi xe thuận tiện. Phục vụ chậm và khi đông khách thì vệ sinh rất bẩn.",vi,Positive
Šimon Preiss,Crowded but good.,4,Đông đúc nhưng tốt.,en,Positive
Ainhoa 2,그냥 맥날인데 제발 직원들 청결 교육 좀... 기침할때 가리지않고 그냥 기침함...^-^,5,"Đây chỉ là một cửa hàng McDonald's, vì vậy hãy huấn luyện nhân viên một chút về sự sạch sẽ... Họ chỉ ho mà không che miệng...^-^",ko,Positive
anh tuan nguyen,"Đồ ăn ổn,đông,xếp hàng lâu",4,"Đồ ăn ổn,đông,xếp hàng lâu",vi,Positive
Hiep Do,Verry Good,5,Rất tốt,en,Positive
Nghiem Van Anh,Tốt,4,Tốt,vi,Positive
Nguyễn Hoàng Hiệp,Good service,4,Dịch vụ tốt,en,Positive
Minh Hiếu,"Quá ngon, giữ được khẩu vị riêng của mình. Không như KFC về VN mất chất quá, đồ ăn hôi rình, ngập mỡ",5,"Quá ngon, giữ được khẩu vị riêng của mình. Không như KFC về VN mất chất quá, đồ ăn hôi rình, ngập mỡ",vi,Positive
Bùi Hương Ly,Đồ ăn ngon,5,Đồ ăn ngon,vi,Positive
Minh Doãn Bảo,Đệp và OK,5,Đệp và OK,vi,Positive
phathutshedzo05 prudence,Good food,5,Thức ăn ngon,en,Positive
Việt Hùng Cao (Việt Hùng),Good.,5,Tốt.,en,Positive
